IP,Name,backends,site
192.168.5.32:8080,docker01,docker01_rmi,rmi.sivian.it
192.168.5.51:8090,docker12,docker12_rmi,rmi-test.invisiblefarm.it
192.168.5.58:18089,docker17,docker17_botcommander,botcommander.invisiblefarm.it
192.168.5.58:18086,docker17,docker17_infobot,infobot.invisiblefarm.it
192.168.5.58:18088,docker17,docker17_connectorfarm,connectorfarm.invisiblefarm.it
192.168.5.58:9104,docker17,docker17_sentinelfarm_web,sentinelfarm.invisiblefarm.it
192.168.5.58:9101,docker17,docker17_sentinelfarm_api,api-sentinelfarm.invisiblefarm.it
192.168.5.58:18087,docker17,docker17_apibdn,apibdn.invisiblefarm.it
192.168.5.59:8080,docker18,docker18_sigla4_izsler,sigla4-izsler.invisiblefarm.it
192.168.5.59:3003,docker18,docker18_signerhub_test,invisiblesign-test.invisiblefarm.it
192.168.5.80:7807,docker18,docker18_sigla5_izsler,sigla-izsler.invisiblefarm.it
192.168.5.59:8082,docker18,docker18_sigla_izsum,sigla-izsum.invisiblefarm.it
192.168.5.61:9000,docker19,docker19_api,api.invisiblefarm.it
192.168.5.59:8787,docker18,docker18_sigla_lab,sigla-lab.invisiblefarm.it
,,snowapp_azure_test,test-bo.skipasslombardia.it
,,snowapp_azure_prod,bo.skipasslombardia.it
,,snowapp_azure_web_test,test-ppu.skipasslombardia.it
,,snowapp_azure_web_prod,ppu.skipasslombardia.it
,,snowapp_azure_wa_test,test-ppu-api.skipasslombardia.it
,,snowapp_azure_wa_prod,ppu-api.skipasslombardia.it
192.168.5.61:9002,docker19,docker19_acquebresciane,www.acquebresciane.it
192.168.5.61:9002,docker19,docker19_acquebresciane,acquebresciane.it
192.168.5.61:8880,docker19,docker19_cdg,budget.irccs-sangerardo.it
192.168.5.63:8082,docker21,docker21_test_santionibus_antonio,santionibus-test.sanita.marche.it
192.168.5.66:8082,docker23,docker23_santionibus,santionibus.sanita.marche.it
192.168.5.63:8083,docker21,docker21_test_santionibus_milano,test-santionibus-mi.invisiblefarm.it
192.168.5.62:8083,docker20,docker20_prod_santionibus_milano,santionibus-mi.invisiblefarm.it
192.168.5.63:8084,docker21,docker21_test_api_santionibus_milano,test-api-santionibus-mi.invisiblefarm.it
192.168.5.62:8084,docker20,docker20_prod_api_santionibus_milano,api-santionibus-mi.invisiblefarm.it
192.168.5.63:8092,docker21,docker21_test_billing,billing-test.sanita.marche.it
192.168.5.66:8092,docker23,docker23_billing,billing.sanita.marche.it
192.168.5.51:9990,docker12,docker20_devops,devops.invisiblefarm.it
192.168.5.64:9101,docker22,docker22_polis,mmg-polis.invisiblefarm.it
192.168.5.64:9101,docker22,docker22_polis,mmg-polis-test.invisiblefarm.it
192.168.5.64:9103,docker22,docker22_polis_prod,gestionecorsimmg.servizirl.it
192.168.5.32:8082,docker01,docker01_signer_rmi,signer-rmi.invisiblefarm.it
192.168.5.33:80,docker02,docker02_www_sivian_it,www.sivian.it
192.168.5.71:8082,podman02,podman02_suite_sivian_it,login.sivian.it
192.168.5.71:8089,podman02,podman02_siv_sivian_it,siv.sivian.it
192.168.5.71:8090,podman02,podman02_sel_sivian_it,sel.sivian.it
192.168.5.33:80,docker02,docker02_www_vetinweb_it,www.vetinweb.it
192.168.5.33:80,docker02,docker02_art316-mi,art316-mi.invisiblefarm.it
192.168.5.33:80,docker02,docker02_art316-mi,test-art316-mi.invisiblefarm.it
192.168.5.33:80,docker02,docker02_api-art316-mi,api-art316-mi.invisiblefarm.it
192.168.5.33:80,docker02,docker02_api-art316-mi,test-api-art316-mi.invisiblefarm.it
192.168.5.33:80,docker02,docker02_verbali_sivian_it,verbali.sivian.it
192.168.5.71:8080,podman02,podman02_mb_sivian_it,mb.sivian.it
192.168.5.71:8084,podman02,podman02_mi_sivian_it,mi.sivian.it
192.168.5.71:8085,podman02,podman02_va_sivian_it,va.sivian.it
192.168.5.71:8083,podman02,podman02_bs_sivian_it,bs.sivian.it
192.168.5.71:8086,podman02,podman02_bg_sivian_it,bg.sivian.it
192.168.5.71:8087,podman02,podman02_mo_sivian_it,mo.sivian.it
192.168.5.71:8088,podman02,podman02_pv_sivian_it,pv.sivian.it
192.168.5.71:8081,podman02,podman02_api_sivian_it,api.sivian.it
192.168.5.33:80,docker02,docker02_va_sivian_it,cerves.izsler.it
192.168.5.32:80,docker01,docker01_ws_sosscuole,ws-sosscuole.invisiblefarm.it
192.168.5.32:5000,docker01,docker01_cruscotto_sosscuole,cruscotto.sosscuole.it
192.168.5.32:5010,docker01,docker01_ws_pay_hub,ws-payhub.invisiblefarm.it
192.168.5.38:8081,mweb02,mweb02_cremona,asst-cremona.formazionesanitaria.it
192.168.5.38:8092,mweb02,mweb02_cremona_compilazione,compilazione-cremona.formazionesanitaria.it
192.168.5.30:8093,mweb01,mweb01_mantova,fad.asst-mantova.it
192.168.5.30:8089,mweb01,mweb01_mantova_compilazione,compilazione.asst-mantova.it
192.168.5.30:8095,mweb01,mweb01_fad,fad.izsum.it
192.168.5.30:8097,mweb01,mweb01_test_bergamoest,test-bergamoest.formazionesanitaria.it
192.168.5.30:8096,mweb01,mweb01_test2_formazionesanitaria,test2.formazionesanitaria.it
192.168.5.38:8085,mweb02,mweb02_fondazionebssolidale,formazione.fondazionebssolidale.it
192.168.5.44:8099,mweb04,mweb04_gestione_aule_sangerardo,gestioneaule.irccs-sangerardo.it
192.168.5.38:8084,mweb02,mweb02_sette_laghi,asst-settelaghi.formazionesanitaria.it
192.168.5.38:8083,mweb02,mweb02_izsler,fad.izsler.it
192.168.5.44:8092,mweb04,mweb04_sanmatteo,sanmatteo.formazionesanitaria.it
192.168.5.42:8081,mweb03,mweb03_portici,fad.izsmportici.it
192.168.5.42:8087,mweb03,mweb03_portici_compilazione,compilazione.izsmportici.it
192.168.5.42:8083,mweb03,mweb03_sicilia,fad.izssicilia.it
192.168.5.42:8090,mweb03,mweb03_polis,fad.polis.lombardia.it
192.168.5.42:8091,mweb03,mweb03_polis_accademia,fad.accademia.polis.lombardia.it
192.168.5.42:8086,mweb03,mweb03_polis_valutazione_web_accademia,valutazioneweb.accademia.polis.lombardia.it
192.168.5.42:8085,mweb03,mweb03_franciacorta,asst-franciacorta.formazionesanitaria.it
192.168.5.42:8084,mweb03,mweb03_lecco,asst-lecco.formazionesanitaria.it
192.168.5.42:8082,mweb03,mweb03_lecco_compilazione,compilazione-lecco.formazionesanitaria.it
192.168.5.44:8091,mweb04,mweb04_garda,asst-garda.formazionesanitaria.it
192.168.5.44:8097,mweb04,mweb04_sangerardo,fad.irccs-sangerardo.it
192.168.5.44:8094,mweb04,mweb04_compilazione_izslt,compilazione.izslt.it
192.168.5.42:8088,mweb03,mweb03_ovestmi,fad.asst-ovestmi.it
192.168.5.42:8089,mweb03,mweb03_valleolona,fad.asst-valleolona.it
192.168.5.42:8091,mweb03,mweb03_survey,survey.invisiblefarm.it
,,mweb04_nordmilano,fad.asst-nordmilano.it
,,mweb04_besta,fad.istituto-besta.it
192.168.5.44:8083,mweb04,mweb04_ivfcorsi,corsi.formazionesanitaria.it
192.168.5.44:8084,mweb04,mweb04_bergamoest,asst-bergamoest.formazionesanitaria.it
192.168.5.44:8085,mweb04,mweb04_valcamonica,fad.asst-valcamonica.it
192.168.5.44:8086,mweb04,mweb04_santipaolocarlo,asst-santipaolocarlo.formazionesanitaria.it
192.168.5.44:8087,mweb04,mweb04_sciotwavecorsi,corsi.sciotwave.it
192.168.5.44:8088,mweb04,mweb04_valtellina,asst-val.formazionesanitaria.it
192.168.5.44:8080,mweb04,mweb04_valtellina_compilazione,compila-val.formazionesanitaria.it
192.168.5.44:8089,mweb04,mweb04_ivffad,fad.invisiblefarm.it
192.168.5.44:8090,mweb04,mweb04_valpadana,fad.ats-valpadana.it
192.168.5.55:9101,docker01,covid_hub,covid19-hub2.invisiblefarm.it
192.168.5.42:9101,mweb03,mweb03_mmg_test,mmg-test.invisiblefarm.it
192.168.5.42:9102,mweb03,mweb03_mmg_test_api,ws-mmg-test.invisiblefarm.it
192.168.5.73:8081,mwebtest,mwebtest_test_formazione,test.formazionesanitaria.it
192.168.5.30:8090,mweb01,mweb01_old_apsstn,oldfad.apss.tn.it
192.168.5.30:8094,mweb01,mweb01_apsstn,fad.apss.tn.it
